duration,region,year,yield_tha,soc_total
duration_1yr,north_america,0,5.6040,51.12
duration_1yr,north_america,1,5.5074,51.10
duration_1yr,north_america,2,5.6040,51.12
duration_1yr,north_america,3,5.6040,51.12
duration_1yr,north_america,4,5.6040,51.12
duration_1yr,north_america,5,5.6039,51.12
duration_1yr,north_america,6,5.6039,51.12
duration_1yr,north_america,7,5.6039,51.12
duration_1yr,north_america,8,5.6038,51.12
duration_1yr,north_america,9,5.6038,51.12
duration_1yr,north_america,10,5.6038,51.12
duration_1yr,north_america,11,5.6037,51.12
duration_1yr,north_america,12,5.6037,51.12
duration_1yr,north_america,13,5.6037,51.12
duration_1yr,north_america,14,5.6036,51.11
duration_1yr,north_america,15,5.6036,51.11
duration_1yr,north_america,16,5.6036,51.11
duration_1yr,north_america,17,5.6035,51.11
duration_1yr,north_america,18,5.6035,51.11
duration_1yr,north_america,19,5.6035,51.11
duration_1yr,north_america,20,5.6034,51.11
duration_1yr,north_america,21,5.6034,51.11
duration_1yr,north_america,22,5.6034,51.11
duration_1yr,north_america,23,5.6033,51.11
duration_1yr,north_america,24,5.6033,51.11
duration_1yr,north_america,25,5.6032,51.11
duration_1yr,north_america,26,5.6032,51.11
duration_1yr,north_america,27,5.6032,51.10
duration_1yr,north_america,28,5.6031,51.10
duration_1yr,north_america,29,5.6031,51.10
duration_1yr,north_america,30,5.6030,51.10
duration_1yr,europe,0,5.1147,43.04
duration_1yr,europe,1,4.9881,43.01
duration_1yr,europe,2,5.1147,43.04
duration_1yr,europe,3,5.1147,43.04
duration_1yr,europe,4,5.1147,43.04
duration_1yr,europe,5,5.1146,43.04
duration_1yr,europe,6,5.1146,43.04
duration_1yr,europe,7,5.1146,43.04
duration_1yr,europe,8,5.1146,43.04
duration_1yr,europe,9,5.1146,43.03
duration_1yr,europe,10,5.1146,43.03
duration_1yr,europe,11,5.1146,43.03
duration_1yr,europe,12,5.1146,43.03
duration_1yr,europe,13,5.1145,43.03
duration_1yr,europe,14,5.1145,43.03
duration_1yr,europe,15,5.1145,43.03
duration_1yr,europe,16,5.1145,43.03
duration_1yr,europe,17,5.1145,43.03
duration_1yr,europe,18,5.1145,43.03
duration_1yr,europe,19,5.1144,43.03
duration_1yr,europe,20,5.1144,43.03
duration_1yr,europe,21,5.1144,43.03
duration_1yr,europe,22,5.1144,43.03
duration_1yr,europe,23,5.1144,43.03
duration_1yr,europe,24,5.1143,43.03
duration_1yr,europe,25,5.1143,43.03
duration_1yr,europe,26,5.1143,43.03
duration_1yr,europe,27,5.1143,43.03
duration_1yr,europe,28,5.1143,43.03
duration_1yr,europe,29,5.1142,43.03
duration_1yr,europe,30,5.1142,43.03
